subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"6",Chrome,121.0.0.0,1366,768,Windows,en-US,2024-02-13_21:27:24,2024-02-13_23:27:24,2024-02-13_21:25:21,M012721,TYFJTK-01,https://www.testable.org/experiment/15243/689963/start?participant=M012721&batch_id=TYFJTK-01,0.77,576.208

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"39",form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>1) Premise: A woman wearing a Chinese straw hat is operating some sort of stainless steel machine in what appears to be a park. Hypothesis: The woman in a Chinese straw hat is failing to operate the stainless steel machine in the park.</p><b/>,536545,factive contradiction,445069,"1"
39_2,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>2) Premise: A woman on the side of a street is making food on her cart. Hypothesis:  The woman on the side of the street is buying food from a cart.</p><b/>,536545,other contradiction,445069,"2"
39_3,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>3) Premise: A woman on the side of a street is making food on her cart. Hypothesis: The woman on the sidewalk has stopped preparing meals on her cart.</p><b/>,536545,no contradiction,445069,"3"
39_4,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>4) Premise: A woman on the side of a street is making food on her cart. Hypothesis:  The woman on the sidewalk is refusing to cook food on her cart.</p><b/>,536545,factive contradiction,445069,"1"
39_5,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>5) Premise: A man in blue shorts and without a shirt is jogging down the road while listening to his iPod. Hypothesis:  The man in blue shorts and without a shirt is sleeping while listening to his iPod.</p><b/>,536545,other contradiction,445069,"2"
39_6,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>6) Premise: Women exercising one woman has a green mat and black outfit on. Hypothesis: Woman napping with a green mat and black outfit on.</p><b/>,536545,no contradiction,445069,"3"
39_7,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>#factives4#</p><b/>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"",nsg:6,"1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p>7) Premise: Women exercising one woman has a green mat and black outfit on. Hypothesis:  The woman in the gym has refrained from exercising with a green mat and is not wearing a black outfit.</p><b/>,536545,no contradiction,445069,"3"
