subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"2",Chrome,121.0.0.0,1536,864,Windows,en-US,2024-02-08_20:19:01,2024-02-08_20:19:01,2024-02-05_09:33:31,M995268,TYJKDP-01,https://www.testable.org/experiment/15243/386327/start?participant=M995268&batch_id=TYJKDP-01,0.9,297.995

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"11",form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>1) ""Premise: Germany is accessible for travelers with disabilities,  Hypothesis:  Germany is not equipped to accommodate travelers with disabilities.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_2,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>2) ""Premise: China's Shengshan ghost island village fascinates tourists,  Hypothesis:  Shengshan's ghost island village in China is actually uninhabited and inaccessible to tourists.""</p><b/>",255009,no contradiction,225673,"3"
11_3,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>3) ""Premise: Using Mauritius sugar to make sweet dreams come true.  Hypothesis:  Mauritius is known for its cotton production, not sugar.""</p><b/>",255009,no contradiction,225673,"3"
11_4,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>4) ""Premise: Storm Ciaran blasts North Sea,  Hypothesis:  Storm Ciaran affects the Mediterranean Sea.""</p><b/>",255009,no contradiction,225673,"3"
11_5,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>5) ""Premise: The Baltic coast borders the Baltic Sea and extends across several countries including Estonia, Latvia, and Lithuania.  Hypothesis:  The Baltic coast is found along the edge of the Black Sea.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_6,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>6) ""Premise: Angela Merkel was the chancellor of Germany from 2005 to 2021,  Hypothesis:  Angela Merkel has never been the chancellor of Germany.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_7,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>7) ""Premise: Germany wants to revamp its immigration system and citizenship laws to make it easier for foreign skilled workers to come to the country and fill job vacancies that are at a record high.,  Hypothesis:  Germany is closing its borders to all foreign workers in an effort to minimize job vacancies.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_8,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>8) ""Premise: Heavy flooding caused substantial property damage and loss of life.,  Hypothesis:  Heavy flooding had no impact on properties and no lives were lost.""</p><b/>",255009,other contradiction,225673,"2"
11_9,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>9) Premise: Severe storms can cause extensive damage to properties and environment. Hypothesis:  Severe storms never cause any damage.</p><b/>,255009,world knowledge contradiction,225673,"1"
11_10,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>10) Premise: Record heatwaves have been associated with global warming due to increased levels of greenhouse gases.  Hypothesis:  Record heatwaves are a result of decreased levels of greenhouse gases.</p><b/>,255009,world knowledge contradiction,225673,"1"
11_11,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>11) ""Premise: Extreme weather is on the rise due to climate change.,  Hypothesis:  Extreme weather events have decreased with climate change.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_12,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>12) ""Premise: Extreme weather is affecting people,  Hypothesis:  Extreme weather has no impact on human life.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_13,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,"<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>13) ""Premise: Bees play a crucial role in pollinating many of the plants which make up the world's food supply, thus contributing to ecosystems and economies around the world.  Hypothesis:  Bees do not have any impact on the pollination of plants or the world's food supply.""</p><b/>",255009,world knowledge contradiction,225673,"1"
11_14,form,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>#wk2#</p><b/>,radio,world knowledge contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","2","1",,<p>World knowledge contradictions arise from the mismatch between the well-known facts about the world. </p> Is the following sentence pair world knowledge contradiction: <b><p>14) Premise: Global warming is causing significant changes to ecosystems and economies around the world.  Hypothesis:  Global warming has no impact on ecosystems and economies around the world.</p><b/>,255009,world knowledge contradiction,225673,"1"
