subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"5",Chrome,121.0.0.0,1920,1080,Windows,en-IN,2024-02-08_20:22:54,2024-02-09_01:52:54,2024-02-06_12:52:09,M061798,TYDHDD-01,https://www.testable.org/experiment/15243/448606/start?participant=M061798&batch_id=TYDHDD-01,0.71,486.485

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"32",form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>1) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are standing by the sculptures in silence, while the second man is ignoring the sculptures.""</p><b/>",452180,no contradiction,403400,"3"
32_2,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>2) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are silent, ignoring the artworks while another person is busy sketching.""</p><b/>",452180,no contradiction,403400,"3"
32_3,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>3) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are silently observing the sculptures without any interaction, and there is no one else around.""</p><b/>",452180,no contradiction,403400,"3"
32_4,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>4) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are silently observing paintings, giving no attention to nearby sculptures.""</p><b/>",452180,no contradiction,403400,"3"
32_5,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>5) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are separated, silently observing separate works of art while another man wanders out of the gallery.""</p><b/>",452180,no contradiction,403400,"3"
32_6,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>6) ""Premise: A man and a woman are standing next to sculptures, talking while another man looks at other sculptures. Hypothesis:  The man and woman are isolated, refraining from conversation near the artwork as the other man inspects the same statues.""</p><b/>",452180,lexical contradiction,403400,"1"
32_7,form,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>#lexical5#</p><b/>",radio,lexical contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","5","1",,"<p>Lexical contradictions are the different points of view on the same situation, event or person. </p> Is the following sentence pair a lexical contradiction: <b><p>7) Premise: A group of young women in dresses strolling on the sidewalk. Hypothesis:  The group of young women were running in jeans on the road.</p><b/>",452180,no contradiction,403400,"3"
