subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"1",Chrome,121.0.0.0,1366,768,Windows,en-US,2024-02-08_20:35:27,2024-02-08_20:35:27,2024-02-05_10:57:21,M811719,TYBTHJ-01,https://www.testable.org/experiment/15243/616219/start?participant=M811719&batch_id=TYBTHJ-01,1,497.725

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"4",form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>1) Premise: A person on a horse jumps over a broken down airplane. Hypothesis:  A person on a horse jumps over a fallen tree.</p><b/>",487295,no contradiction,193677,"3"
4_2,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>2) Premise: The children are smiling and waving at the camera. Hypothesis:  The children are smiling and waving at their friends.</p><b/>",487295,no contradiction,193677,"3"
4_3,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>3) Premise: A boy is jumping on skateboard in the middle of a red bridge. Hypothesis:  A boy is jumping on bicycle in the middle of a red bridge.</p><b/>",487295,no contradiction,193677,"3"
4_4,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>4) Premise: An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background. Hypothesis:  An older man sits with his morning newspaper at a small table in a coffee shop while employees in bright colored shirts smile in the background.</p><b/>",487295,structural contradiction,193677,"1"
4_5,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>5) Premise: Two blond women are hugging one another. Hypothesis:  Two blond women are hugging a man.</p><b/>",487295,no contradiction,193677,"3"
4_6,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>6) ""Premise: A few people in a restaurant setting, one of them is drinking orange juice. Hypothesis:  A few people in a restaurant setting, one of them is eating an apple.""</p><b/>",487295,other contradiction,193677,"2"
4_7,form,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>#structure1#</p><b/>",radio,structural contradiction;other contradiction;no contradiction;difficult to answer,responseRow1;,"","1","1",,"<p>In the structural contradiction the subject and the object of the verb in the premise (first sentence) swap their places in the hypothesis (second sentence), or the object from the premise is replaced with the new entity. </p> Is the following sentence pair a structural contradiction: <b><p>7) Premise: An older man is drinking orange juice at a restaurant. Hypothesis:  An older man is drinking water at a restaurant.</p><b/>",487295,no contradiction,193677,"3"
