subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,calibration,duration_s
"8",Yandex Browser,23.11.0.0,1536,864,Windows,ru,2024-01-31_10:12:29,2024-01-31_12:12:29,2024-01-30_12:53:32,M003250,TYBDPP-01,https://www.testable.org/experiment/15243/790887/start?participant=M003250&batch_id=TYBDPP-01,0.92,398.882

rowNo,type,head,responseType,responseOptions,responseRows,pageBreak,subjectGroup,required,ITI_ms,head_actual,timestamp,response,RT,responseCode
"45",form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 1) Premise: A woman in a red shirt is speaking at a table in a room where three other people are listening to her. Hypothesis: Three other people heard the woman in a red shirt fail to speak at the table in the room. </p></b>,369691,no contradiction,311057,"3"
45_2,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 2) Premsie: A woman in a red shirt is speaking at a table in a room where three other people are listening to her. Hypothesis: The woman in the red shirt managed to stay silent at the table while the three others talked. </p></b>,369691,factive contradiction,311057,"1"
45_3,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 3) Premsie: A woman talks to two other women and a man with notepads in an office building with large windows. Hypothesis: The woman avoids speaking to the two other women and a man with notepads in the office building with large windows. </p></b>,369691,factive contradiction,311057,"1"
45_4,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 4) Premise: A woman talks to two other women and a man with notepads in an office building with large windows. Hypothesis: A woman fails to talk to two other women and a man with notepads in an office building with large windows. </p></b>,369691,factive contradiction,311057,"1"
45_5,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 5) Premise: A woman talks to two other women and a man with notepads in an office building with large windows. Hypothesis: A woman forgets to talk to two other women and a man with notepads in an office building with large windows. </p></b>,369691,factive contradiction,311057,"1"
45_6,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 6) Premise: A woman talks to two other women and a man with notepads in an office building with large windows. Hypothesis:  The woman avoids talking to two other women and a man with notepads in an office building with large windows. </p></b>,369691,factive contradiction,311057,"1"
45_7,form,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> #factives8# </p></b>,radio,factive contradiction;other contradiction;no contradiction;difficult to answer,responseRow1,"","8","1",,<p>Factive contradictions arise from the opposite meaning of the verb phrase. </p> Is the following sentence pair factive contradiction: <b><p> 7) Premise: A classroom of students discussing lecture. Hypothesis: A classroom of students forgot to discuss the lecture. </p></b>,369691,factive contradiction,311057,"1"
